FACILITYID,flood_risk_area_m2,flood_risk_percent
10004094,NA,NA
10000963,1030228.8601057543,3.536767152253431
10005933,NA,NA
10000949,1827096.669284536,36.140542249942314
10000327,270146.46203856205,5.558641603698716
10006511,274219.02916730294,6.6496793347679075
10000292,1452602.4826033618,31.99537388691091
10000329,2229447.12150046,54.939068683962354
10004574,1005556.2189659515,20.352492712187235
10000460,1679102.7521541978,44.53143915802055
10002175,1622094.8569710432,34.51965810691212
10000504,NA,NA
10006167,0,0
10000494,513355.59608805337,10.856133000884693
10000465,1084506.0428122142,25.261229786667833
10000453,NA,NA
10000437,370582.9918060685,7.695196034672677
10000440,0,0
10000473,NA,NA
10004139,0,0
10004126,1922463.120149406,55.53597931479559
10004137,0,0
10004138,0,0
10001738,904268.8372942415,20.62831925262968
10004127,1900173.9523167526,49.42645890271903
10001739,1470810.811604449,31.241584891073142
10004125,2431247.9232676798,54.854307131943116
10001742,209054.32960968383,4.141281248889251
10001743,202185.2293397399,5.278130883147796
10000467,524167.51636821224,11.069542927740686
10004140,594389.579778561,13.286148573581864
10002187,0,0
10000546,5201883.328826082,99.9999977693597
10004646,4099340.1668613236,84.48453408950611
10000512,4113596.133138395,90.71046519082968
10000679,0,0
10000680,0,0
10000658,372227.2470716213,7.649430518388106
10000659,152531.6623976392,3.7917717923060574
10000694,0,0
10000633,223318.56741923938,4.572610049300525
10000308,55680.543526140966,1.4657444726657696
10006659,891804.8013544941,24.521562258917097
10001470,138262.1386106686,4.190778643986221
10000642,556522.9881058757,8.771477059442905
10000315,504723.537430878,11.25813625881471
10004527,1182187.239647574,31.309338538157718
10000545,4367974.591596187,100.00000000219683
10000510,0,0
10000495,924760.002691416,17.32564213204538
10000653,552477.4696954289,11.151176730571882
10000547,5033267.693651864,100.00000028898488
10000548,4712128.960356025,99.277388314474
10003928,447114.4396451833,12.860456493854644
10002121,652945.9965644315,19.223530143640335
10000314,51905.587648449764,1.1440496251667858
10000313,1557715.379841723,44.08375074030671
10000100,558606.9487471781,15.194872769853122
10001162,373335.6118391337,9.754748020336992
10001165,0,0
10001163,125418.10607067643,2.6639455166913515
10005035,487126.59896964807,13.147494048481093
10001977,88383.85658013748,1.998553091299683
10002957,0,0
10002105,203459.59070659074,5.810347497960075
10002106,199403.72341925823,4.246424126399218
10006350,0,0
10000689,0,0
10000220,4432331.951062697,71.2044851515249
10006300,0,0
10000225,1093159.7149035474,26.261186167793348
10000790,2182294.7212456972,41.85621319900738
10000817,0,0
10000644,1442055.1937650195,27.17016680090762
10001146,0,0
10005273,0,0
10005113,45200.03555567015,0.9606990166924838
10000780,314323.86207263777,5.317866820393516
10000671,1051.6023629419856,0.023483437635673985
10006149,452527.9917165409,8.529923481827941
10000928,585025.1079417071,12.310883074713926
10000926,127302.26333554416,3.163736506972347
10006209,39693.63097874673,1.0033201047319809
10000857,1054433.3985283691,18.33202607379586
10000861,0,0
10000655,503078.7427163301,10.718867844594723
10000678,0,0
10000407,619179.4639931499,15.562652720102674
10000319,674201.7762641252,15.576128563921507
10006239,72602.69713169472,1.7433211137070033
10000285,97549.32675434237,2.0916118982415446
10004536,1024359.7808544239,30.236871700709255
10002102,0,0
10001411,0,0
10001426,81169.18173394015,2.305242112339774
10001158,1113379.7254862112,27.046368914530294
10001156,663698.173083205,19.027730377884673
10006580,613818.6480059419,18.114789441103266
10000720,647882.338759612,14.414403028840617
10002759,0,0
10001990,0,0
10001605,410109.6915215863,8.35830722349725
10000402,1520870.3608239433,30.31169304168782
10003624,0,0
10001933,0,0
10001155,0,0
10003625,0,0
10006572,0,0
10006574,0,0
10006575,0,0
10001972,1913018.698980639,49.20137179800541
10005282,0,0
10002693,0,0
10000084,557921.460598969,12.43472031311036
10000062,36509.15311796595,1.0861422068549418
10002139,55678.95738799317,1.3212485985480174
10000302,178748.39673360906,3.9353677511629557
10000761,31690.347918015716,0.6154269660042124
10000573,84950.92370304854,1.439613637151446
10000576,840030.2597294978,16.093139800832112
10006177,0,0
10006178,0,0
10000587,410170.43012213265,10.801153048151381
10000593,0,0
10000554,0,0
10002221,769058.796185596,22.040245763151802
10000004,318024.64631505636,6.3595522735080845
10000044,198072.49614900802,5.100632314858392
10002207,0,0
10002204,0,0
10002217,NA,NA
10000572,151961.044742666,4.3286324553818485
10002228,0,0
10002227,0,0
10003209,2395247.9492646684,48.84038103464706
10003468,117610.21772728866,3.3482369048901885
10006533,690542.883695543,15.675212094742037
10006615,0,0
10001184,304627.26812672557,8.429567648659662
10004339,8195.33348022509,0.2314414588711638
10001186,0,0
10001182,550554.8317106147,13.310078021120983
10001181,728125.8203198815,13.339899253824541
10001185,571335.3474935882,15.481884734032983
10001173,0,0
10001172,0,0
10001187,3792.232778185458,0.09915335668130372
10000934,551367.6175083321,13.839380315601552
10000927,40622.811959253624,0.8478146376967486
10000937,102645.1111154726,2.2750291493135557
10000955,0,0
10000939,102824.84708822475,2.079521823771098
10001489,0,0
10000931,366446.1625503824,7.260002006633359
10004089,0,0
10000933,204900.6274030474,4.23708397311837
10000929,546540.4092577077,13.8183813840907
10006618,0,0
10000765,2329963.3346786737,58.76039412409462
10002400,188865.25613918676,4.804262053183177
10000772,0,0
10002399,0,0
10005380,70262.5224899074,1.9428294933823216
10002401,826292.0722038497,24.383288953556686
10002348,136515.96384205396,2.2027829047953116
10001931,NA,NA
10000960,0,0
10002398,0,0
10002395,951249.8727369095,26.313868064896983
10002396,1016986.0430749999,26.864499410294655
10002397,0,0
10000796,126093.91190446816,2.419089051084046
10005283,0,0
10000704,221622.31048248467,6.470540734479319
10000699,2000233.3256140426,48.450367052340994
10000041,163364.8070517511,4.645023369874187
10003147,NA,NA
10000705,608789.8586838705,16.714956021469778
10006200,51033.631326775336,1.3852918432142882
10000037,822644.0723176926,23.73604832566735
10000706,336783.1013419211,9.722252100316922
10000707,NA,NA
